iter	Logloss
0	0.5851276514
1	0.5288851209
2	0.4968701825
3	0.4086404992
4	0.3428458001
5	0.3079303925
6	0.2633853229
7	0.2278890651
8	0.2040639153
9	0.1821538434
10	0.1754009797
11	0.1597281877
12	0.1561321275
13	0.1425076447
14	0.1300578805
15	0.1215512888
16	0.1115053668
17	0.1063335036
18	0.09838962971
19	0.095009683
20	0.08928064904
21	0.083072704
22	0.0784094698
23	0.07473740723
24	0.07375033349
25	0.06891948583
26	0.06552818665
27	0.06328435756
28	0.06212283638
29	0.05851583189
30	0.05527753705
31	0.0522404425
32	0.04973222075
33	0.04758008599
34	0.04581680464
35	0.04353771043
36	0.04190476597
37	0.04006769772
38	0.03849821632
39	0.03695559189
40	0.03514402298
41	0.03394248496
42	0.03293111543
43	0.03176216892
44	0.03087619507
45	0.02990065912
46	0.02886762577
47	0.02806245604
48	0.02721553703
49	0.02622210823
50	0.02535676748
51	0.02473361003
52	0.02399858325
53	0.02337868661
54	0.02271084598
55	0.02208918567
56	0.02151874267
57	0.02101495276
58	0.02062275316
59	0.02017472613
60	0.01976389656
61	0.01941798972
62	0.01902458657
63	0.01865497531
64	0.0182963667
65	0.01795027454
66	0.01758506308
67	0.01728256301
68	0.01696316956
69	0.01669939324
70	0.01649132983
71	0.01622987731
72	0.01601049473
73	0.01570771147
74	0.01546476189
75	0.01525158445
76	0.01504846952
77	0.01482202497
78	0.01459388441
79	0.0143871349
80	0.01415634259
81	0.01395863008
82	0.01376445637
83	0.01353145374
84	0.0133586971
85	0.01315987475
86	0.01299606452
87	0.01282095284
88	0.01266694381
89	0.01253562099
90	0.01241177971
91	0.0122760248
92	0.01211135356
93	0.0119853457
94	0.01186611559
95	0.01174938314
96	0.01162792606
97	0.01150261367
98	0.0114071213
99	0.01128899687
100	0.01115007692
101	0.01101162132
102	0.01089900446
103	0.01078325796
104	0.0106675427
105	0.01056284051
106	0.01046947309
107	0.01036468864
108	0.01026836129
109	0.01016438372
110	0.01006676953
111	0.009963772703
112	0.009870021104
113	0.009773768712
114	0.009677817207
115	0.009594066695
116	0.009517189717
117	0.009416501074
118	0.009349783435
119	0.009267446776
120	0.009188329289
121	0.009124746489
122	0.009051280251
123	0.008975847319
124	0.008916405091
125	0.008835341733
126	0.008753199765
127	0.008693248424
128	0.008640607892
129	0.008586985576
130	0.008521033166
131	0.008470196911
132	0.008416861946
133	0.00835643533
134	0.008302131074
135	0.008246926241
136	0.008186377813
137	0.008132009006
138	0.008081988997
139	0.008017885633
140	0.007970567874
141	0.007924251681
142	0.007876226996
143	0.007832159121
144	0.007776554495
145	0.007731542317
146	0.007687630091
147	0.007640432062
148	0.007600990445
149	0.007557414505
150	0.007509324748
151	0.007475693674
152	0.007433417583
153	0.007390429359
154	0.007347051754
155	0.007304059366
156	0.00725307423
157	0.007210487882
158	0.007169329443
159	0.007132453169
160	0.007091289004
161	0.007046033722
162	0.007006122556
163	0.006974424858
164	0.00693560011
165	0.006899465119
166	0.006855643993
167	0.006820435087
168	0.006790830058
169	0.006758905394
170	0.006729607499
171	0.006698981643
172	0.006668510395
173	0.006641392104
174	0.006609694926
175	0.006573593773
176	0.006532857512
177	0.006503667373
178	0.006470427763
179	0.006441700406
180	0.006418484267
181	0.006389180125
182	0.006365252374
183	0.006334440156
184	0.006308367679
185	0.006276614801
186	0.006252791684
187	0.006226026335
188	0.00619599132
189	0.006174229118
190	0.006146227949
191	0.006121150271
192	0.006096286545
193	0.006073207314
194	0.006049162956
195	0.006025990024
196	0.006000976896
197	0.005980664986
198	0.005958128184
199	0.005940384219
200	0.005915239388
201	0.005892735381
202	0.005866111626
203	0.005844343177
204	0.005816972932
205	0.005791519407
206	0.005769152829
207	0.005747093904
208	0.00572995796
209	0.005712898017
210	0.005694421618
211	0.005672633908
212	0.005655651009
213	0.005634704532
214	0.005617597738
215	0.005593631986
216	0.005574473127
217	0.005554088859
218	0.005539884734
219	0.005522751912
220	0.00550820942
221	0.005491001637
222	0.005472915141
223	0.005455375238
224	0.005433733807
225	0.005415201187
226	0.005394906456
227	0.005378598209
228	0.005362059352
229	0.005344848445
230	0.005330912411
231	0.005311093476
232	0.005299461981
233	0.005285442136
234	0.005270224992
235	0.005255760584
236	0.005238412249
237	0.005224883296
238	0.005211898333
239	0.005198434451
240	0.005183906014
241	0.005168593086
242	0.00515200894
243	0.005140212946
244	0.005128891708
245	0.005116942668
246	0.005105625594
247	0.005092056037
248	0.005076906567
249	0.005062399993
